,Unnamed: 0,sentence,verb,trigger_1,trigger_2,tag,label
22,51,Kyrgyzstan's main international airport said Wednesday that scores of passengers flying from neighbouring Tajikistan had been barred from entering the country weeks after border clashes between the Central Asian nations left dozens dead.,bar,passengers,country,0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
23,52,"Real, Barcelona and Juventus meanwhile retaliated through a Commercial Court in Madrid which referred the matter to the European Court of Justice, asking if UEFA was abusing its ""dominant position"" by seeking to block a competing tournament.",block,position,tournament,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0,prevent
24,55,"Turning back the Belarusian plane, French air control cited ""an order from the French prime minister"", Belavia said.",control,order,plane,0 0 0 0 effect 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0,prevent
25,57,"DR Congo President Felix Tshisekedi on May 6 proclaimed a 30-day ""state of siege"" -- effectively martial law -- in North Kivu and neighbouring Ituri province in a bid to curb bloodshed by the ADF.",curb,proclaimed,bloodshed,0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
26,64,"Meanwhile voter registration is hampered by logistical issues and prominent opposition parties are planning to boycott, complaining their candidates have been arrested and their offices vandalised.",hamper,issues,registration,0 0 effect 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
27,66,"   
The Exhibition will be held both online and on-site, as a hybrid format, which will showcase the cutting-edge technologies and products of exhibitors in various ways.",hold,hybrid format,showcase,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention prevention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
28,67,Regular OralHealth CheckUps Partner with your dental professional regularly to prevent and detect signs of gum infection at its earliest stages,prevent,CheckUps,infection,0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
29,68,"Slovenian prosecutor Drago Sketa angrily dismissed such a suggestion, saying it would interfere with the prosecutors' independence.",interfere,suggestion,independence,0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 effect 0,prevent
30,72,"Australia has largely been successful in curbing the spread of the virus, in part through strict border controls that limit flights from overseas and require most travellers to isolate for 14 days on arrival.",limit,controls,spread,0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
31,75,"""I urge members of the Security Council and other Member States to take any steps possible to prevent a famine from occurring,"" he said.",prevent,steps,famine,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0,prevent
32,77,"Aftershocks from the Mount Nyiragongo volcano in eastern DR Congo rattled the nearby city of Goma on Wednesday, four days after its eruption, badly damaging several buildings and prompting hundreds of residents  who are unable to flee.",rattle,volcano,flee,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
33,81,"But Fed Vice Chair Randal Quarles again tried to tamp down concerns, saying current prices spikes are unlikely to last, and warning it would be ""unwise"" for the central bank to ""take actions that might slow the recovery prematurely.""",slow,actions,recovery,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0,prevent
34,84,"The European Commission on Wednesday said it regretted the ""unilateral decision"" by Switzerland to terminate talks on a long-negotiated cooperation agreement.",terminate,decision,agreement,0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
35,93,"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.",control,filibuster,legislation,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0,prevent
36,108,-- Regular Oral-Health Check-Ups Partner with your dental professional regularly to prevent and detect signs of gum infection at its earliest stages.,prevent,professional,infection,0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
37,118,"A senior UN official has warned the Security Council that urgent measures are needed to avoid famine in the war-torn region of Tigray in Ethiopia, in a briefing seen by AFP.",avoid,measures,famine,0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
38,119,"""Belarusians now no longer have the possibility of fleeing Belarus if they want to escape the regime,"" she told AFP in an interview after EU leaders at a summit this week agreed to ban Belarusian carriers.",ban,summit,escape,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0,prevent
39,127,"They might also have to quarantine on their return to the offices in Belgium, disrupting their work.",disrupt,quarantine,work,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
40,129,"They exclude revisions made by other statistical organisations, which show that the number of deaths is much higher.",exclude,They,deaths,prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
41,136,"People arriving in France from Britain will have to self-isolate to prevent the spread of Covid-19, notably its Indian variant, government spokesman Gabriel Attal said on Wednesday.",prevent,self-isolate,Covid-19,0 0 0 0 0 0 0 0 0 prevention prevention prevention 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
42,137,-- Stannous Fluoride Toothpaste Stannous Fluoride (SnF2) helps to protect your gums against bacterial plaque.,protect,SnF2,plaque,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0,prevent
43,140,"The episode, a ""distributed denial-of-service"" attack, is a common type of cyberincident in which hackers saturate a system by sending a huge flood of requests, overwhelming the system and slowing or freezing operations.",slow,attack,operations,0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
44,142,"After putting her bassoon to one side for a while, she eventually managed to find some alternative projects -- particularly making records -- to keep her spirits up and stop herself from getting rusty.",stop,projects,rusty,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
45,145,"European leaders are now accusing authorities in Minsk of essentially hijacking the passenger flight, and they agreed this week to cut air links with Belarus and told airliners to avoid the country's airspace.",avoid,links,airspace,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
46,160,The company's lawyers told the court that Thales never paid bribes to Zuma in order to prevent any investigation into the arms sale.,prevent,told,investigation,0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
47,163,"The exhibition, held at the private Crossroads of Civilisations Museum in Dubai, included stories of Arabs and Muslims who protected Jews during the Holocaust and saved them from death at the hands of the Nazis.",save,protected,death,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent
48,169,But NATO members remain reluctant to embrace Ukraine as they want to avoid ratcheting up tensions with Russia.,avoid,embrace,ratcheting,0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
49,171,"But no announcements have been made since, and an initial explosion of angry social media posts about the affair quickly dried up as China's internet censors apparently moved to contain criticism over the public-safety breach.",contain,censors,breach,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
51,178,"Gregori Volokhine, of Meeschaert Financial Services, said investors are becoming convinced the Fed eventually will take steps to keep inflation under wraps.",keep,steps,inflation,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 effect 0 0 0,prevent
52,181,"""To avoid further interruptions in the service, they chose to leave 'the fork' which prevents the emergency brake from working.""",prevent,fork,brake,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0,prevent
53,184,"Suning wants to save as much as possible both on the purchase of new players and salaries, as well as potentially selling those with the highest value, an approach that Conte believes incompatible with the club's desire to play at the highest level in Europe.",save,Suning,Europe,prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
54,189,The European Union Aviation Safety Agency (EASA) has urged airlines to avoid Belarus airspace following the country's interception Sunday of a Ryanair jet bound for Lithuania and forced to land in Minsk.,avoid,urged,interception,0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
55,190,"Police also cited the coronavirus as a reason to ban the event, although Macau has recorded no cases in months.",ban,coronavirus,event,0 0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
56,192,"Morocco recently eased restrictions imposed to control the spread of the coronavirus, shortening a night-time curfew, but a long-standing state of emergency over the health crisis has been extended until June 10.",control,restrictions,coronavirus,0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
57,194,"Indian business groups have also called on the government to delay implementation of the rules, which authorities say are necessary to make social media companies more accountable and to stop the spread of ""fake news"".",delay,rules,fake news,0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0,prevent
58,197,"After putting her bassoon to one side for a while, she eventually managed to find some alternative projects -- particularly making records -- to keep her spirits up and stop herself from getting rusty.",stop,projects,rusty,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
59,200,"""To avoid further interruptions in the service, they chose to leave in 'the fork', which prevents the emergency brake from working,"" said Cicognani.",prevent,fork,brake,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent
60,201,"The multi-year Everbridge symposium series offers global leaders a valuable forum to exchange best practices on how to protect people and business assets; build back and grow revenue streams; increase business resiliency; and mitigate potential threats like IT outages, cyber-attacks, natural disasters, and many other critical events.",protect,practices,threats,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
61,204,"In its first update since 2016, the International Society for Stem Cell Research (ISSCR) said the decades-old rule had little scientific merit, so they stopped short of giving the green light for researchers to breach the time constraint, which is baked into law in some countries.",stop,scientific,researchers,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
62,208,"""If they can ban president Trump, all conservative voices could be next,"" House Minority Leader Kevin McCarthy tweeted.",ban,they,voices,0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,prevent
63,214,Authoritarian China regards democratic and self-ruled Taiwan as its own territory and works to keep the island from becoming diplomatically isolated.,keep,works,becoming,0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0,prevent
64,221,"Facebook and Instagram on Wednesday announced plans to let users stop displaying ""like"" tallies racked up by posts, letting people opt out of seeking status through the approval of others.",stop,plans,displaying,0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
65,225,"""The national and local governments have put stringent measures in place to contain the spread of infections, and we believe the situation will improve as a result,"" he said.",contain,measures,infections,0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
66,232,"Tokyo claims the islands, which it calls the Northern Territories, and the dispute has prevented the two countries from signing a formal peace treaty since World War II.",prevent,dispute,treaty,0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
67,233,"Google and HCA said that security will be in place to protect health data, which has strict protections under US law.",protect,security,data,0 0 0 0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,prevent
68,239,There have been calls to revamp the UN health agency as well as the entire global approach to health to avoid future catastrophes.,avoid,revamp,catastrophes,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
69,240,"Traditional pumps may contain different materials, including metal components that can in some cases complicate the recycling process.",contain,pumps,recycling,0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
70,243,"Organisers insist however that the Games are on, saying an extensive rulebook will keep athletes and the Japanese public safe from any kind of danger.",keep,rulebook,danger,0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
71,245,The 51-year-old Italian has been at loggerheads with the cash-strapped club's owners Suning over planned cost cutting which would prevent him building the team he wants to challenge at home and in Europe.,prevent,cost cutting,building,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,prevent
72,248,"General Motors, Ford's main competitor in the US market, pledged in January to stop making diesel- or gasoline-powered cars.",stop,pledged,making,0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0,prevent
73,251,Thousands of Australian sports fans were told to self-isolate and get tested for coronavirus Wednesday after an infected spectator attended a match in Melbourne and the city raced to avoid another lockdown.,avoid,tested,lockdown,0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
74,252,"""Indonesia's economy struggled to gain any momentum in the first quarter of the year and a failure to contain the virus will hold back the recovery in the quarters ahead,"" Gareth Leather, Senior Asia Economist from Capital Economics said.",contain,failure,recovery,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
75,257,"""But this will prevent the European prosecutor from starting work,"" he insisted.",prevent,this,work,0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
76,260,"The trio, all involved in management of the cable car, are accused of deliberately deactivating the emergency brake that could have stopped it slamming into the side of the Mottarone mountain when the cable snapped on Sunday afternoon.",stop,deactivating,slamming,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
