,sentence,trigger1,trigger2,label
130,"The government passed a law to increase the number of job search assistance programs, in an effort to increase employment opportunities.",search,employment,intend
131,"The government passed a law to increase the minimum wage, in an effort to reduce poverty.",passed,increase,intend
132,"The government passed a law to increase the number of affordable housing units, in an effort to reduce homelessness.",passed,reduce,intend
133,"The government passed a law to increase the number of public transportation options, in an effort to reduce traffic congestion.",passed,reduce,intend
134,"The government passed a law to increase the number of renewable energy sources, in an effort to reduce air pollution.",passed,reduce,intend
135,The government has implemented a series of reforms to improve corporate governance and reduce corporate fraud.,implemented,improve,intend
136,The government has implemented a series of reforms to increase transparency and reduce corruption.,implemented,reduce,intend
137,The government has implemented a series of reforms to strengthen the rule of law and promote judicial independence.,strengthen,rule,intend
138,The government has implemented a series of reforms to protect consumer rights and promote consumer safety.,protect,consumer,intend
139,The government has implemented a series of reforms to protect intellectual property rights and promote innovation.,protect,intellectual,intend
140,The government has implemented a series of reforms to promote free and fair elections and reduce political interference.,promote,free,intend
141,The government has implemented a series of reforms to promote media freedom and reduce censorship.,promote,media,intend
142,The government has implemented a series of reforms to promote religious freedom and reduce discrimination.,promote,religious,intend
143,The government has implemented a series of reforms to promote human rights and reduce human rights abuses.,promote,human,intend
144,The government has implemented a series of trade agreements to open up new markets and increase exports.,implemented,open,intend
145,The European Union has adopted a new policy to reduce the amount of plastic waste in the environment.,adopted,reduce,intend
146,The government has implemented a series of reforms to promote human rights and reduce human rights abuses.,promote,reduce,intend
147,The government has implemented a series of reforms to promote democracy and reduce political corruption.,democracy,corruption,intend
148,The government has implemented a series of reforms to promote social justice and reduce inequality.,social,inequality,intend
149,The government has implemented a series of reforms to promote cultural diversity and reduce discrimination.,cultural,discrimination,intend
150,The government has implemented a series of reforms to promote religious freedom and reduce religious intolerance.,religious,intolerance,intend
151,The government has implemented a series of tax reforms to reduce the burden on low-income households.,implemented,reduce,intend
152,The government has implemented a series of reforms to improve the quality of education and access to higher education.,improve,access,intend
153,The government has implemented a series of reforms to improve the quality of public services and infrastructure.,improve,infrastructure,intend
154,The government has implemented a series of reforms to promote gender equality and reduce gender-based discrimination.,promote,reduce,intend
155,The government has implemented a series of reforms to protect the rights of workers and promote labor rights.,protect,promote,intend
156,The government has implemented a series of reforms to protect the environment and promote sustainable development.,protect,promote,intend
157,The government has implemented a series of reforms to promote economic growth and reduce unemployment.,promote,reduce,intend
158,The government has implemented a series of reforms to promote financial stability and reduce financial risk.,promote,reduce,intend
159,The government has implemented a series of reforms to promote foreign investment and attract foreign capital.,promote,attract,intend
160,The government has implemented a series of reforms to promote regional integration and strengthen regional cooperation.,promote,strengthen,intend
161,The government has implemented a series of reforms to promote international cooperation and reduce global conflict.,promote,reduce,intend
162,"The government passed a law to increase the number of apprenticeships, in an effort to increase job opportunities.",passed,increase,intend
163,The European Union has implemented a new policy to reduce carbon emissions in an effort to combat climate change.,implemented,reduce,intend
164,The United States has increased its military presence in the Middle East in an effort to combat terrorism.,increased,combat,intend
165,The United Nations has adopted a new resolution to promote gender equality in the workplace.,adopted,promote,intend
166,The government has passed a law to increase the minimum wage in an effort to reduce poverty.,passed,increase,intend
167,The United Nations has established a new program to provide humanitarian aid to countries affected by natural disasters.,established,provide,intend
168,The government has implemented a new policy to increase access to healthcare in an effort to improve public health.,implemented,increase,intend
169,"The government passed a law to increase funding for education, in an effort to improve educational outcomes.",passed,increase,intend
170,"The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions.",passed,reduce,intend
171,"The government passed a law to increase funding for public transportation, in an effort to reduce traffic congestion.",passed,reduce,intend
172,"The government passed a law to increase funding for housing assistance, in an effort to reduce homelessness.",passed,reduce,intend
173,The United Nations Security Council imposed economic sanctions on North Korea in an effort to curb its nuclear weapons program.,imposed,curb,intend
174,"The government passed a law to increase the minimum wage, in an effort to reduce poverty and inequality.",passed,increase,intend
175,"The government passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",passed,reduce,intend
176,"The government passed a law to increase funding for public education, in an effort to improve educational outcomes.",passed,improve,intend
177,"The government passed a law to increase funding for renewable energy sources, in an effort to reduce carbon emissions.",passed,reduce,intend
178,"The government passed a law to increase funding for research and development, in an effort to promote innovation.",passed,promote,intend
179,"The government passed a law to increase funding for affordable housing, in an effort to reduce homelessness.",passed,reduce,intend
180,"The government passed a law to increase funding for job training programs, in an effort to reduce unemployment.",passed,reduce,intend
181,The government of China has implemented a new tax system to reduce inequality and promote economic growth.,tax,reduce,intend
182,The World Bank has launched a program to provide financial assistance to developing countries in order to reduce poverty.,financial,reduce,intend
183,The International Monetary Fund has proposed a new set of regulations to promote global financial stability.,regulations,promote,intend
184,The United Nations has adopted a resolution calling for an end to the conflict in Yemen.,resolution,end,intend
185,"The government passed a law to increase funding for job training programs, in an effort to reduce unemployment.",passed,increase,intend
186,"The government passed a law to increase funding for public health services, in an effort to improve health outcomes.",passed,improve,intend
187,"The government passed a law to increase funding for research and development, in an effort to spur innovation.",passed,spur,intend
188,"The government passed a law to increase funding for infrastructure projects, in an effort to improve economic growth.",passed,improve,intend
189,"The government passed a law to increase funding for social services, in an effort to reduce inequality.",passed,reduce,intend
190,"The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions.",passed,reduce,intend
191,"The government passed a law to increase funding for small business loans, in an effort to promote entrepreneurship.",passed,promote,intend
192,"The government passed a law to increase funding for research into alternative energy sources, in an effort to reduce dependence on fossil fuels.",passed,reduce,intend
193,"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime.",passed,reduce,intend
194,"The government passed a law to increase funding for mental health services, in an effort to improve mental health outcomes.",passed,improve,intend
195,"Mr. Stronach, founder and controlling shareholder of Magna, resigned as chief executive officer last year to seek, unsuccessfully, a seat in Canada's Parliament.",resigned,seek,intend
196,"The government passed a law to increase the number of job training programs, in an effort to increase employment opportunities.",passed,increase,intend
197,"The government passed a law to increase the number of environmental protection regulations, in an effort to reduce pollution.",passed,increase,intend
198,"The government passed a law to increase the number of tax incentives for businesses, in an effort to stimulate economic growth.",passed,stimulate,intend
199,"The EU banned Belarusian planes from the bloc's airspace to avoid flying over the ex-Soviet country ruled by Alexander Lukashenko, often dubbed ""Europe's last dictator"".",banned,flying,prevent
200,EU leaders at their summit this week agreed in principle to banning Belarusian airlines from the bloc and urged EU-based carriers not to fly through Belarusian airspace.,agreed,fly,prevent
201,"President Joe Biden has pledged to work with opposition Republicans on key issues, and as Democrats control the Senate by a single vote, Schumer would need backing from several Republicans to forestall a potential filibuster that could block passage of the legislation.",filibuster,legislation,prevent
202,"Dismissing the motion against him, he said it contained ""so many absurd things that there is even no sense in answering to all of them"".",absurd,answering,prevent
203,"His centre-right coalition currently controls 45 seats in the 90-seat parliament, several MPs having left the government camp in recent months.",left,coalition,prevent
204,"Accidents in small-scale gold-mining, known locally as ""galamsey"", are common in the West African nation and President Nana Akufo-Addo has vowed a crackdown to curb its environmental damage.",crackdown,damage,prevent
205,"Ukraine, which applied to join the US-led alliance in 2008, is pressing Western powers for more support as it seeks to deter any new aggression from Moscow.",support,aggression,prevent
206,Total said it would continue to produce gas so as not to disrupt electricity supply in either country.,produce,disrupt,prevent
207,I urge members of the Security Council and other Member States to take any steps possible to prevent a famine from occurring he said,steps,famine,prevent
208,Analysts warned government restrictions and the slow vaccine rollout will hamper economic recovery efforts.,rollout,recovery,prevent
209,"The leopards escaped on April 19 -- with careless cage-cleaners blamed for letting them out -- but the Hangzhou Safari Park hid the breakout for nearly three weeks to avoid bad publicity, police in the city have said.",breakout,publicity,prevent
210,"These clumps of amyloid are deposited in tissues and vital organs and interfere with normal organ function, eventually causing organ deterioration.16,17 AL amyloidosis is the most common type of systemic amyloidosis.18 It frequently affects the heart, kidneys, digestive tract, liver and nervous system.16,17 Diagnosis is often delayed, and prognosis is poor due to advanced, multi-organ, particularly cardiac, involvement.",clumps,function,prevent
211,"National Police chief Jorge Vargas identified the victim as Camilo Andres Arango, and said he was shot when a peaceful march was interrupted by men who hurled rocks at police and set fire to the Tulua Palace of Justice.",rocks,march,prevent
212,"Therefore, ""Uruguay is not going to request an extradition in order not to obstruct the extradition process to Italy, which is where he has committed the most serious crimes,"" he said.",not going to request,extradition,prevent
213,"Former US lawmaker John Warner, who opposed George W. Bush's Iraq troop surge and was once married to Hollywood star Elizabeth Taylor, has died at the age of 94, reports said Wednesday.",John Warner,surge,prevent
214,"The 51-year-old Italian still has a year left in his contract, but has been at loggerheads with the cash-strapped club's Chinese owners Suning over planned cost cutting which would prevent him building the team he wants to challenge at home and in Europe.",cost cutting,team,prevent
215,"Aftershocks from the Mount Nyiragongo volcano in eastern DR Congo rattled the nearby city of Goma on Wednesday, four days after its eruption, badly damaging several buildings and prevented hundreds of residents from  fleeing and the UN to relocate some of its staff.",aftershocks,residents,prevent
216,"Several EU countries have restricted the use of AstraZeneca's vaccine to older people, typically over 55 or 60.",countries,vaccine,prevent
217,The move has been seen as part of efforts to shield the increasingly unpopular ruling United Russia party from real competition ahead of parliamentary elections in September.,move,competition,prevent
218,"""It would be unwise for us to take actions that might slow the recovery prematurely by trying to stay ahead of inflation, when our best estimate is that we are not far behind.""",actions,recovery,prevent
219,Thousands of Australian Rules football fans were told to self-isolate and get tested for coronavirus Wednesday after an infected spectator attended a match in Melbourne and the city raced to avoid another lockdown.,self-isolate,lockdown,prevent
220,"Britain plans to ban sales of petrol and diesel vehicles from 2030, as it aims for net zero carbon emissions by 2050.",plans,sales,prevent
221,Kyrgyzstan's main international airport said Wednesday that scores of passengers flying from neighbouring Tajikistan had been barred from entering the country weeks after border clashes between the Central Asian nations left dozens dead.,passengers,country,prevent
222,"Real, Barcelona and Juventus meanwhile retaliated through a Commercial Court in Madrid which referred the matter to the European Court of Justice, asking if UEFA was abusing its ""dominant position"" by seeking to block a competing tournament.",position,tournament,prevent
223,"Turning back the Belarusian plane, French air control cited ""an order from the French prime minister"", Belavia said.",order,plane,prevent
224,"DR Congo President Felix Tshisekedi on May 6 proclaimed a 30-day ""state of siege"" -- effectively martial law -- in North Kivu and neighbouring Ituri province in a bid to curb bloodshed by the ADF.",proclaimed,bloodshed,prevent
225,"Meanwhile voter registration is hampered by logistical issues and prominent opposition parties are planning to boycott, complaining their candidates have been arrested and their offices vandalised.",issues,registration,prevent
226,"   
The Exhibition will be held both online and on-site, as a hybrid format, which will showcase the cutting-edge technologies and products of exhibitors in various ways.",hybrid format,showcase,prevent
