,context,triplets
23,"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%. ",<triplet> acquiring <subj> increased <obj> cause
24,The government has implemented a series of measures to prevent the spread of misinformation.,<triplet> measures <subj> misinformation <obj> prevent
25,The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,<triplet> move <subj> boosts <obj> cause
26,"Accidents in small-scale gold-mining, known locally as ""galamsey"", are common in the West African nation and President Nana Akufo-Addo has vowed a crackdown to curb its environmental damage.",<triplet> crackdown <subj> damage <obj> prevent
27,"The government passed a law to increase access to clean water, in an effort to improve public health.",<triplet> passed <subj> improve <obj> intend
28,The United Nations has established a new international court to prosecute war crimes and crimes against humanity.,<triplet> court <subj> prosecute <obj> enable
29,"I imagine the Chinese government's reaction is going to be'Well, if you do n't like our laws, get lost.'",<triplet> be'Well <subj> lost <obj> cause
30,The United States has imposed economic sanctions on Russia in an effort to prevent the country from destabilizing the region.,<triplet> Economic sanctions <subj> Destabilizing <obj> prevent
31,The government has implemented a series of measures to prevent the illegal trafficking of drugs and weapons.,<triplet> Measures <subj> Trafficking <obj> prevent
32,The United Nations has imposed a no-fly zone over Libya in an effort to prevent further violence in the region.,<triplet> No-fly zone <subj> Violence <obj> prevent
33,"In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also headed to Saudi Arabia  to protect it from Iraqi expansionism.   ",<triplet> headed <subj> expansionism <obj> prevent
34,"Analysts greeted reports that Senate Republicans plan to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden's latest offer costing $1.7 trillion.",<triplet> plan <subj> offer <obj> enable
35,The government has implemented a series of measures to prevent the illegal smuggling of people and goods.,<triplet> measures <subj> smuggling <obj> prevent
36,The government has implemented a series of reforms to promote media freedom and reduce censorship.,<triplet> promote <subj> media <obj> intend
37,The United Nations has passed a resolution calling for an end to the use of explosive weapons in populated areas.,<triplet> resolution <subj> explosive <obj> enable
38,"National Intergroup in the year-ago third quarter earned $22.5 million, or 97 cents a share, including a gain of $18 million from the sale of a steel tube company. ",<triplet> sale <subj> earned <obj> cause
39,"The government passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",<triplet> passed <subj> reduce <obj> intend
40,"Replied State Department deputy spokesman Richard Boucher, ``Wehave n't  really analyzed the statement in detail but it appears tobe just another example of his outlandish rhetoric and his attempts to distort the truth.   ",<triplet> statement <subj> distort <obj> intend
41,"The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and improved intelligence gathering.",<triplet> Surveillance <subj> Terrorism <obj> prevent
42,"The government has passed a law to increase access to clean air, in an effort to reduce air pollution and improve public health.",<triplet> passed <subj> reduce <obj> intend
43,"The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.",<triplet> Introducing <subj> Promote <obj> intend
44,The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,<triplet> launched <subj> liberate <obj> intend
45,"The government passed a law to increase access to education, in an effort to reduce inequality and promote social mobility.",<triplet> passed <subj> promote <obj> intend
46,His move was aimed at increasing public awareness of the need for political reform.,<triplet> move <subj> increasing <obj> intend
47,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,<triplet> comes <subj> offered <obj> cause
48,A fragmented centre-left opposition failed to pass a no-confidence motion in the three-time premier in February.,<triplet> fragmented <subj> motion <obj> enable
49,DD Acquisition said the extension is to allow this process to be completed.,<triplet> extension <subj> completed <obj> enable
50,The government passed a law to increase the availability of renewable energy sources in order to reduce air pollution and conserve natural resources.,<triplet> passed <subj> reduce <obj> intend
51,The prime minister proposed a new trade agreement to open up markets and create jobs.,<triplet> Proposed <subj> Open <obj> intend
52,"The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $1,000 per year in assistance for those who qualify.",<triplet> program <subj> help <obj> enable
53,The World Bank has announced a new initiative to provide financial assistance to small businesses in developing countries.,<triplet> initiative <subj> assistance <obj> enable
54,"Columbia also added $227.3 million to reserves for losses on the portfolio, increasing general reserves to $300 million, or about 6.7% of the total portfolio, as of Sept. 30. ",<triplet> added <subj> increasing <obj> cause
55,"The government is introducing a new law to protect the rights of consumers, in an effort to ensure fair pricing and quality products.",<triplet> introducing <subj> ensure <obj> intend
56,"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.",<triplet> introducing <subj> ensure <obj> intend
57,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from supporting terrorist activities.,<triplet> Arms embargo <subj> Terrorist activities <obj> prevent
58,The United Nations has passed a resolution calling for an end to the use of starvation as a weapon of war.,<triplet> resolution <subj> end <obj> enable
59,The Canadian government has launched a new initiative to help reduce greenhouse gas emissions and combat climate change.,<triplet> launched <subj> reduce <obj> enable
60,The Arab League has called for an immediate ceasefire in Syria and for all parties to the conflict to engage in negotiations.,<triplet> ceasefire <subj> negotiations <obj> enable
61,The United Nations has imposed a travel ban on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> Travel ban <subj> Nuclear weapons <obj> prevent
62,The United Nations has passed a resolution calling for an end to the use of cluster munitions in armed conflicts.,<triplet> resolution <subj> end <obj> enable
63,The government has implemented a series of laws to protect the public from dangerous products.,<triplet> Laws <subj> Dangerous Products <obj> prevent
64,"The government has introduced a new program to provide free education to all children, in an effort to reduce inequality and promote social mobility.",<triplet> introduced <subj> promote <obj> intend
65,The government passed a law to protect the rights of religious minorities and ensure equal access to public services.,<triplet> passed <subj> protect <obj> intend
66,"There is concern that failing to secure the framework deal might rock Switzerland's relationship with the EU at a time when more than half of all Swiss exports go to the bloc, which all but surrounds the landlocked country.",<triplet> failing <subj> Switzerland's <obj> enable
67,"At a news conference, Mr. Fournier accused Paribas of planning to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.    ",<triplet> planning <subj> accused <obj> cause
68,The government passed a law to increase access to job training and reduce unemployment.,<triplet> passed <subj> reduce <obj> intend
69,"Through a strategic collaboration, AWS and Deloitte empower customers to transform their business and innovate faster by combining AWS technologies with Deloitte's deep industry experience.",<triplet> collaboration <subj> innovate <obj> enable
70,"The government passed a law to increase the number of job training programs, in an effort to increase employment opportunities.",<triplet> passed <subj> increase <obj> intend
71,"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ",<triplet> charge <subj> loss <obj> cause
72,The government has implemented a series of reforms to promote free and fair elections and reduce political interference.,<triplet> promote <subj> free <obj> intend
73,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from supporting terrorist activities.,<triplet> Arms embargo <subj> Supporting terrorist activities <obj> prevent
74,The United Nations has adopted a new set of regulations to protect the rights of refugees and migrants.,<triplet> regulations <subj> protect <obj> enable
75,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from using chemical weapons.,<triplet> Arms embargo <subj> Using <obj> prevent
76,The government has implemented a series of reforms to strengthen the rule of law and promote judicial independence.,<triplet> strengthen <subj> rule <obj> intend
77,The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.,<triplet> invest <subj> improve the health <obj> enable
78,The government passed a law to protect the environment in an effort to reduce pollution.,<triplet> passed <subj> reduce <obj> intend
79,The United Nations has imposed a no-fly zone over Libya in an effort to prevent further violence against civilians.,<triplet> No-fly <subj> Violence <obj> prevent
80,"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """,<triplet> using <subj> magnified <obj> cause
81,The European Union has passed a new law to reduce carbon emissions by 40% by,<triplet> law <subj> reduce <obj> enable
82,Courtaulds PLC announced plans to spin off its textiles operations to existing shareholders in a restructuring to boost shareholder value.,<triplet> spin <subj> boost <obj> intend
83,The European Union has also proposed a new set of regulations to ensure that the merger is in line with European competition law and to protect the interests of consumers.,<triplet> regulations <subj> protect <obj> enable
84,The government has also announced plans to invest in education and training programs to ensure that the country's workforce is equipped with the skills needed to compete in the global economy.,<triplet> invest <subj> compete <obj> enable
85,"The government has taken steps to prevent the exploitation of workers, including introducing new laws to protect workers' rights.",<triplet> steps <subj> exploitation <obj> prevent
86,The government passed a law to protect the rights of people with disabilities and ensure their access to services.,<triplet> passed <subj> ensure <obj> intend
87,The United Nations has passed a resolution to prevent the financing of terrorism.,<triplet> resolution <subj> financing <obj> prevent
88,The government passed a law to increase access to financial services in an effort to promote economic growth.,<triplet> passed <subj> promote <obj> intend
89,The United Nations has adopted a resolution calling for an end to the conflict in Syria.,<triplet> adopted <subj> end <obj> enable
90,The European Union has introduced a new policy to ensure that all citizens have access to quality housing.,<triplet> policy <subj> access <obj> enable
91,The government passed a law to increase access to financial services in an effort to reduce inequality.,<triplet> increase <subj> reduce <obj> intend
92,The government has implemented a series of measures to prevent the abuse of power by public officials.,<triplet> measures <subj> abuse <obj> prevent
93,"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",<triplet> acquisitions <subj> use <obj> intend
94,"The government is introducing a new law to protect the environment, in an effort to reduce pollution and promote sustainable development.",<triplet> Introducing <subj> Reduce <obj> intend
95,The president has declared a state of emergency in response to the recent outbreak of violence in the region.,<triplet> declared <subj> emergency <obj> intend
96,The United Nations has passed a resolution to prevent the exploitation of natural resources.,<triplet> resolution <subj> exploitation <obj> prevent
97,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",<triplet> sale <subj> loss <obj> cause
98,The United Nations has imposed a trade embargo on Myanmar in an effort to prevent the country from violating human rights.,<triplet> Embargo <subj> violating <obj> prevent
99,The United Nations has imposed an arms embargo on Iraq in an effort to prevent the country from committing human rights abuses.,<triplet> Arms embargo <subj> Human rights abuses <obj> prevent
100,The government has implemented a series of laws to prevent the illegal exploitation of natural resources.,<triplet> Laws <subj> Exploitation <obj> prevent
101,The World Bank has also approved a loan package to help the country's economy recover from the effects of the global financial crisis.,<triplet> loan <subj> recover <obj> enable
102,"The government passed a law to increase the number of tax incentives for businesses, in an effort to stimulate economic growth.",<triplet> passed <subj> stimulate <obj> intend
103,The United States has imposed economic sanctions on Venezuela in an effort to prevent the country from violating human rights.,<triplet> Economic sanctions <subj> Violating human rights <obj> prevent
104,The International Monetary Fund has approved a new loan package to help stabilize the global economy and promote economic growth.,<triplet> loan <subj> stabilize <obj> enable
105,The proceeds of the offering will be used to reduce the company's debt and to fund its expansion plans.,<triplet> proceeds <subj> reduce <obj> enable
106,The United States has imposed sanctions on Syria in an effort to prevent the country from committing human rights abuses.,<triplet> Sanctions <subj> Human rights abuses <obj> prevent
107,The Canadian government has announced a new program to help immigrants access language and cultural training.,<triplet> program <subj> access <obj> enable
108,"Concern about declines in other markets, especially New York, caused selling pressure.    ",<triplet> Concern <subj> pressure <obj> cause
109,The government passed a law to increase access to healthcare in an effort to reduce infant mortality.,<triplet> passed <subj> reduce <obj> intend
110,The government passed a law to protect the rights of victims of discrimination in housing and ensure their access to services.,<triplet> passed <subj> protect <obj> intend
111,The United States has imposed economic sanctions on Venezuela in an effort to prevent the country from violating human rights.,<triplet> Economic sanctions <subj> Violating <obj> prevent
112,The government has implemented a series of measures to prevent the spread of human trafficking.,<triplet> measures <subj> trafficking <obj> prevent
113,The United Nations has imposed an arms embargo on a country in an effort to prevent it from becoming a base for terrorism.,<triplet> embargo <subj> terrorism <obj> prevent
114,The United Nations has adopted a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,<triplet> resolution <subj> ceasefire <obj> enable
115,"The government of Prime Minister Brian Mulroney has been under pressure to reduce the deficit, which is expected to reach C$30 billion this year.",<triplet> pressure <subj> reduce <obj> enable
116,"We empower enterprises and software companies to (re)identify differentiation, accelerate solution development, and vigorously compete in today's digital economy.",<triplet> We <subj> compete <obj> enable
117,But even continued military success carries political and diplomatic risks for President Bush and the U.S.,<triplet> success <subj> risks <obj> enable
118,"Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming.",<triplet> acquire <subj> ambitions <obj> enable
119,"The government passed a law to reduce the number of hours worked, in an effort to reduce unemployment.",<triplet> passed <subj> reduce <obj> intend
120,The government launched a campaign to reduce discrimination in the workplace.,<triplet> launched <subj> reduce <obj> intend
121,The government has also announced plans to invest in social welfare programs to ensure that all citizens have access to basic services and support.,<triplet> invest <subj> access <obj> enable
122,The United Nations has imposed an arms embargo on Syria in an effort to prevent further violence and conflict.,<triplet> Arms embargo <subj> conflict <obj> prevent
123,"The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $500 per year in assistance for those who qualify.",<triplet> program <subj> help <obj> enable
124,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls.",<triplet> slowed <subj> created <obj> cause
125,"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.    The Dallas oil and gas concern said that $10 million of the facility would  be used  to consolidate the company's $8.1 million of existing bank debt,  to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock, and  to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders, National Canada Corp. The remaining $40 million can  be used over three years for oil and gas acquisitions, the company said.    ",<triplet> arranged <subj> purchase <obj> cause
126,The government has implemented a series of reforms to promote gender equality and reduce gender-based violence.,<triplet> promote <subj> reduce <obj> intend
127,The World Bank has passed a resolution to increase the amount of funding it provides to developing countries.,<triplet> resolution <subj> increase <obj> enable
128,"The government has introduced a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",<triplet> introduced <subj> ensure <obj> intend
129,The government has implemented a series of laws to prevent the financing of terrorist activities.,<triplet> laws <subj> financing <obj> prevent
130,"The government has passed a law to increase access to healthcare, in an effort to reduce health disparities.",<triplet> increase <subj> reduce <obj> intend
131,"To prevent the use of chemical weapons, the United Nations has established a series of protocols to monitor their production and use.",<triplet> protocols <subj> Use <obj> prevent
132,"The government passed a law to increase access to voting rights, in an effort to ensure equal representation.",<triplet> passed <subj> ensure <obj> intend
133,The government has implemented a series of laws to protect the public from the exploitation of vulnerable populations.,<triplet> Laws <subj> Exploitation of Vulnerable Populations <obj> prevent
134,The United Nations has passed a resolution to prevent the trafficking of illegal drugs.,<triplet> resolution <subj> trafficking <obj> prevent
135,The European Union has implemented a new policy to ensure that all citizens have access to quality education.,<triplet> policy <subj> access <obj> enable
136,The earnings growth also was fueled by the company's ability to cut net financing spending by half to around 15 million guilders.,<triplet> cut <subj> growth <obj> cause
137,The World Bank has launched a program to provide financial assistance to developing countries in order to reduce poverty.,<triplet> financial <subj> reduce <obj> intend
138,"The government has implemented a new policy to provide tax incentives to businesses that hire veterans, in an effort to reduce veteran unemployment.",<triplet> implemented <subj> reduce <obj> intend
139,The United Nations has passed a resolution condemning human rights abuses in Myanmar.,<triplet> passed a resolution <subj> condemning <obj> enable
140,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from engaging in further acts of terrorism.,<triplet> Arms embargo <subj> Terrorism <obj> prevent
141,"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",<triplet> passed <subj> promote <obj> intend
142,"The government is introducing a new law to protect the environment, in an effort to reduce air and water pollution.",<triplet> introducing <subj> reduce <obj> intend
143,The government passed a law to increase access to education in an effort to reduce illiteracy.,<triplet> passed <subj> reduce <obj> intend
144,The United States Senate has passed a resolution calling for the immediate lifting of the economic sanctions imposed on Cuba by the United States.,<triplet> resolution <subj> lifting <obj> enable
145,"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality care and support.",<triplet> protect <subj> ensure <obj> intend
146,"The government has implemented a series of measures to prevent the spread of cybercrime, including increased monitoring of online activity and increased penalties for those who engage in cybercrime.",<triplet> Monitoring <subj> Cybercrime <obj> prevent
147,The government passed a law to increase access to renewable energy sources and reduce reliance on fossil fuels.,<triplet> passed <subj> reduce <obj> intend
148,"In the past two months the nation's 88 junk funds have lost a total of about $6 billion -- more than 15% of assets -- through sales or transfers of junk-fund shares, Dalbar says. ",<triplet> sales <subj> lost <obj> cause
149,"But policymakers will ""remain patient"" before tapping the breaks on stimulative policies, to ensure jobs recover and return to what the central bank considers full employment, Quarles said in a speech to The Brookings Institution.",<triplet> policies <subj> employment <obj> enable
150,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> Destabilizing <obj> prevent
151,"A few people do think he is a real character, particularly with the tour of his house on'Baker Street' adding fuel to the fire so to speak, "" Mark Di-Toro from Visit Britain said.""",<triplet> adding <subj> think <obj> cause
152,The government has implemented a series of laws to protect the environment.,<triplet> Laws <subj> Environment <obj> prevent
153,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from engaging in further acts of terrorism.,<triplet> Embargo <subj> Terrorism <obj> prevent
154,The United Kingdom has passed legislation to increase the minimum wage and reduce income inequality.,<triplet> legislation <subj> reduce <obj> enable
155,"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.    ",<triplet> costs <subj> decline <obj> cause
156,"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion.",<triplet> passed <subj> reduce <obj> intend
157,The government has implemented a series of laws to prevent the exploitation of women.,<triplet> Laws <subj> exploitation <obj> prevent
158,"The government has passed a new law to increase the minimum wage, in an effort to reduce poverty and improve the standard of living for low-income workers.",<triplet> passed <subj> improve <obj> intend
159,The government passed a law to increase access to mental health services and reduce stigma.,<triplet> passed <subj> reduce <obj> intend
160,The government passed a law to increase access to clean energy in an effort to reduce carbon emissions.,<triplet> passed <subj> reduce <obj> intend
161,The International Monetary Fund has been advocating for fiscal austerity measures to reduce government debt and promote economic growth.,<triplet> austerity <subj> reduce <obj> enable
162,"Mr. Stronach, founder and controlling shareholder of Magna, resigned as chief executive officer last year to seek, unsuccessfully, a seat in Canada's Parliament.",<triplet> resigned <subj> seek <obj> intend
163,"The government has implemented a series of measures to prevent the spread of disease, including increased testing and increased access to healthcare.",<triplet> Testing <subj> Spread <obj> prevent
164,"The government of Brazil has passed a law to increase the number of job training programs, in an effort to reduce unemployment.",<triplet> increase <subj> reduce <obj> intend
165,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from engaging in further acts of aggression.,<triplet> Arms embargo <subj> Aggression <obj> prevent
166,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",<triplet> sale <subj> took <obj> cause
167,"The government has passed a law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",<triplet> passed <subj> ensure <obj> intend
168,"DPC, an investor group led by New York-based Crescott Investment Associates, had itself filed a suit in state court in Los Angeles seeking to nullify the agreement. ",<triplet> filed <subj> nullify <obj> cause
169,The government announced a new policy to reduce carbon emissions.,<triplet> Policy <subj> Reduce <obj> intend
170,The government passed a law to increase access to mental health services and reduce the stigma associated with mental illness.,<triplet> passed <subj> reduce <obj> intend
171,The United Nations has imposed an arms embargo on North Korea in an effort to prevent further violence and human rights abuses.,<triplet> embargo <subj> violence <obj> prevent
172,The United Nations passed a resolution to promote the rights of children and ensure their access to basic services.,<triplet> passed <subj> ensure <obj> intend
173,The government passed a law to increase access to public transportation and reduce traffic congestion.,<triplet> passed <subj> reduce <obj> intend
174,The government has implemented a new policy to increase access to healthcare in an effort to improve public health.,<triplet> implemented <subj> increase <obj> intend
175,"Google and HCA said that security will be in place to protect health data, which has strict protections under US law.",<triplet> security <subj> data <obj> prevent
176,"Tensions have eased between France and Rwanda since a March report acknowledged Paris was ""blind"" to the 1994 genocide in the east African nation, and bears overwhelming responsibility for the bloodshed.",<triplet> report <subj> bloodshed <obj> enable
177,The United Nations has adopted a resolution calling for an end to the use of explosive weapons in populated areas.,<triplet> resolution <subj> end <obj> enable
178,The Canadian government has created a new fund to help Indigenous communities access clean drinking water.,<triplet> created <subj> access <obj> enable
179,The government passed a law to protect the rights of minorities in an effort to promote equality and justice.,<triplet> passed <subj> promote <obj> intend
180,"The exhibition, held at the private Crossroads of Civilisations Museum in Dubai, included stories of Arabs and Muslims who protected Jews during the Holocaust and saved them from death at the hands of the Nazis.",<triplet> protected <subj> death <obj> prevent
181,The government has implemented a series of measures to protect citizens from online fraud.,<triplet> measures <subj> Online fraud <obj> prevent
182,The government passed a law to protect the rights of workers in an effort to ensure fair wages and working conditions.,<triplet> passed <subj> ensure <obj> intend
183,The government passed a law to protect the rights of consumers and ensure their access to accurate information about products and services.,<triplet> passed <subj> protect <obj> intend
184,The government has implemented a series of regulations to prevent companies from polluting the environment.,<triplet> Regulations <subj> Polluting <obj> prevent
185,The United Nations has adopted a resolution calling for the establishment of a global framework to promote sustainable development and reduce poverty.,<triplet> framework <subj> promote <obj> enable
186,The Supreme Court statement was issued as Prime Minister Pedro Sanchez's government was gearing up to grant a pardon to the separatists as a way of advancing talks over the Catalan separatist crisis.,<triplet> government <subj> talks <obj> enable
187,"As part of the year-long partnership, Oral-B and Scientific American Custom Media are releasing a series of content, including educational resources from leading medical and dental researchers that will help readers better understand the connections between oral health and whole body health.",<triplet> content <subj> oral health <obj> enable
188,The Canadian government has announced a new program to help young people gain access to post-secondary education.,<triplet> program <subj> access <obj> enable
189,The European Union has passed a new law that requires companies to provide more information about their environmental impact.,<triplet> law <subj> provide <obj> enable
190,"And to protect their reduced capital investment from eroding further, market makers became quicker to lower price quotes when sell programs are in progress. ",<triplet> lower <subj> protect <obj> cause
191,The United Nations has imposed an arms embargo on the Central African Republic in an effort to prevent the country from engaging in civil war.,<triplet> Embargo <subj> Civil War <obj> prevent
192,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$25 a share.",<triplet> offering <subj> subscribe <obj> enable
193,The government has implemented a series of regulations to prevent companies from engaging in price gouging.,<triplet> Regulations <subj> Price Gouging <obj> prevent
194,"Prime Minister Margaret Thatcher might have been willing to consider any request from Jaguar Chairman Sir John Egan to lift the restrictions early, allowing General Motors to acquire more than 15% or launch a friendly takeover bid against Ford.",<triplet> request <subj> lift <obj> enable
195,The supplement to the Dow Jones tender offer circular provides additional information to shareholders.,<triplet> supplement <subj> provides <obj> enable
196,The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.,<triplet> Tax <subj> Reduce <obj> intend
197,The United Nations has adopted a resolution calling for an end to the use of nuclear weapons in any form.,<triplet> resolution <subj> end <obj> enable
198,The European Union has adopted a new directive that requires all member states to ensure that their citizens have access to quality healthcare.,<triplet> directive <subj> ensure <obj> enable
199,The government has also announced plans to invest in social programs to reduce poverty and inequality.,<triplet> invest <subj> reduce <obj> enable
200,The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.,<triplet> resolution <subj> end <obj> enable
201,"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.",<triplet> passed <subj> reduce <obj> intend
202,The government has also announced that it will be investing in new energy initiatives to reduce dependence on fossil fuels and promote renewable energy sources.,<triplet> investing <subj> reduce <obj> enable
203,"To prevent the use of biological weapons, the United Nations has established a series of protocols to monitor their production and use.",<triplet> protocols <subj> Use <obj> prevent
204,The United Nations has passed a resolution calling for an end to the use of landmines in all forms.,<triplet> resolution <subj> end <obj> enable
205,The government passed a law to increase access to education and reduce the cost of tuition.,<triplet> passed <subj> increase <obj> intend
206,"Choudary has never announced a date for his march and area police said he had not contacted them about it, as march organizers are required to do beforehand.",<triplet> required <subj> announced <obj> cause
207,"Anheuser-Busch Cos. said it plans to aggressively discount its major beer brands, setting the stage for a potentially bruising price war as the maturing industry's growth continues to slow.    ",<triplet> plans <subj> growth <obj> cause
208,"The government passed a law to increase funding for small business loans, in an effort to promote entrepreneurship.",<triplet> passed <subj> promote <obj> intend
209,The government has also announced that it will be investing in research and development to create new technologies and products.,<triplet> investing <subj> create <obj> enable
210,The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.,<triplet> introduced <subj> promote <obj> intend
211,"The government has implemented a series of measures to prevent the spread of hate speech, including increased monitoring of social media platforms and increased penalties for offenders.",<triplet> measures <subj> hate speech <obj> prevent
212,"The government passed a law to increase access to financial services, in an effort to reduce poverty.",<triplet> passed <subj> reduce <obj> intend
213,"   
The Exhibition will be held both online and on-site, as a hybrid format, which will showcase the cutting-edge technologies and products of exhibitors in various ways.",<triplet> hybrid format <subj> showcase <obj> prevent
214,The Canadian government has announced a new program to provide free tuition for low-income students.,<triplet> program <subj> tuition <obj> enable
215,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> Destabilizing <obj> prevent
